Company Name,Ticker,Next EPS Report Date ,# of Analysts in Q0 Consensus,Avg Volume,Q0 Consensus Est. (last completed fiscal Qtr),Market Cap ,Optionable,Earnings ESP,Zacks Rank
"Brightcove Inc.","BCOV","20180215","3","121709","-.03","245.89","YES","","3"
"BioCryst Pharmaceuticals, Inc.","BCRX","20180226","6","1067212.88","-.15","553.04","YES","","3"
"Belden Inc","BDC","20180201","5","259268.8","1.77","3612.63","YES","","3"
"Brandywine Realty Trust","BDN","20180125","7","1422568.5",".33","3018.22","YES","-12.12","3"
"BioDelivery Sciences International, Inc.","BDSI","20180316","5","590487.44","-.23","157.87","YES","0","4"
"Becton, Dickinson and Company","BDX","20180201","11","1265714.25","2.4","60665.36","YES","-.83","3"
"BioTelemetry, Inc.","BEAT","20180228","4","487419.81",".21","1074.33","YES","","5"
"Beacon Roofing Supply, Inc.","BECN","20180201","10","554081.06",".54","4313.31","YES","5.56","1"
"Franklin Resources, Inc.","BEN","20180130","6","1883885.75",".75","24621.17","YES","1.33","2"
"BPC Acquisition Corp","BERY","20180202","7","597310.31",".65","7890.13","YES","","3"
"Amplify Snack Brands, inc.","BETR","20180314","3","3837730.5",".06","928.55","YES","","3"
"Brown Forman Corporation","BF.B","20180306","7","670223.38",".52","25385.46","YES","1.96","1"
"Bright Horizons Family Solutions Inc.","BFAM","20180208","4","188192.91",".69","5661.02","YES","","3"
"Saul Centers, Inc.","BFS","20180306","3","29317.25",".78","1284.22","NO","","4"
"Bunge Limited","BG","20180221","4","949895.63","1.63","9806.07","YES","","5"
"Briggs & Stratton Corporation","BGG","20180124","3","222302.95",".23","1094.27","YES","","3"
"BeiGene, Ltd.","BGNE","20180328","3","178497.95","-1.74","4695.83","YES","","4"
"Brighthouse Financial, Inc.","BHF","20180212","5","689059.56","2.11","7828.36","YES","-.95","2"
"Baker Hughes Incorporated","BHGE","20180124","11","4065496.75",".14","15928.15","YES","0","4"
"BIOHAVEN PHARM","BHVN","20180213","3","300043.41","-1.33","952.32","YES","-10.53","3"
"Baidu, Inc.","BIDU","20180222","4","1865432.63","1.99","87744.15","YES","0","4"
"Big Lots, Inc.","BIG","20180302","10","899647",".05","2411.43","YES","-.42","3"
"Biogen Inc.","BIIB","20180125","27","1026507.38","5.46","71045.7","YES","-1.47","3"
"Bio-Rad Laboratories, Inc.","BIO","20180222","3","182266.66","1.27","7392.24","YES","","1"
"BIOVERATIV INC","BIVV","20180125","6","945665.38",".75","6897.75","YES","0","1"
"BJ's Restaurants, Inc.","BJRI","20180222","9","341229.16",".33","777.86","YES","-3.03","3"
"Bank Of New York Mellon Corporation (The)","BK","20180118","8","3290599.5",".91","59823.36","YES","0","3"
"Black Hills Corporation","BKH","20180131","3","610441.38","1.06","2911.72","YES","-8.49","4"
"Black Knight Financial Services, Inc.","BKI","20180207","8","723943.5",".36","7642.76","YES","2.94","2"
"BankUnited, Inc.","BKU","20180123","7","665897.63",".62","4612.49","YES","0","2"
"BLACKLINE INC","BL","20180222","6","356881.19","0","1847.5","YES","","3"
"Bellicum Pharmaceuticals, Inc.","BLCM","20180312","4","392655.69","-.69","297.96","YES","","2"
"TopBuild Corp.","BLD","20180227","4","285858.5",".81","2735.67","YES","","3"
"Ballard Power Systems, Inc.","BLDP","20180307","4","1184319.25","-.01","744.49","YES","","3"
"Builders FirstSource, Inc.","BLDR","20180228","6","1288451.75",".16","2573.93","YES","","3"
"BlackRock, Inc.","BLK","20180112","7","390582.31","6.07","89069.24","YES","0","1"
"Blackbaud, Inc.","BLKB","20180214","6","178509.84",".6","4595","YES","","3"
"Ball Corporation","BLL","20180207","5","2790873.5",".52","13267.12","YES","","3"
"Bloomin' Brands, Inc.","BLMN","20180216","8","666677.88",".38","2039.88","YES","","4"
"bluebird bio, Inc.","BLUE","20180228","10","622508.38","-1.64","8369.08","YES","-4.27","3"
"BMC Stock Holdings, Inc.","BMCH","20180307","4","743924.81",".25","1642.41","YES","","2"
"Badger Meter, Inc.","BMI","20180205","3","98110.35",".23","1417.75","YES","","3"
"Bank Of Montreal","BMO","20180227","4","278874.5","1.58","53179.21","YES","","3"
"Bank of Marin Bancorp","BMRC","20180122","4","20882.1",".86","440.18","NO","","1"
"BioMarin Pharmaceutical Inc.","BMRN","20180222","11","1061322.25","-.24","15844.53","YES","50","3"
