Company Name,Ticker,Next EPS Report Date ,# of Analysts in Q0 Consensus,Avg Volume,Q0 Consensus Est. (last completed fiscal Qtr),Market Cap ,Optionable,Earnings ESP,Zacks Rank
"Imperva, Inc.","IMPV","20180208","9","266141.69",".27","1505.12","YES","","3"
"Incyte Corporation","INCY","20180213","20","1420154.25","-.46","19852.25","YES","56","3"
"Infinity Pharmaceuticals, Inc.","INFI","20180313","3","899116.13","-.25","103.96","YES","","3"
"Infinera Corporation","INFN","20180207","9","1294397","-.13","1057.24","YES","","3"
"IHS Markit Ltd.","INFO","20180116","10","1584724.5",".51","19087.03","YES","","2"
"Infosys Limited","INFY","20180112","8","4888467",".25","38429.12","YES","0","3"
"Inogen, Inc","INGN","20180227","4","135002",".21","2412.36","YES","","3"
"Summit Hotel Properties, Inc.","INN","20180222","5","767648.81",".28","1593.35","YES","","3"
"Inovio Pharmaceuticals, Inc.","INO","20180321","3","1261449.13","-.29","404.53","YES","-3.45","3"
"Inovalon Holdings, Inc.","INOV","20180228","7","686891.75",".07","2071.38","YES","-16.67","4"
"Insmed, Inc.","INSM","20180222","5","716811.88","-.67","2424.87","YES","-4.48","3"
"Instructure, Inc.","INST","20180205","8","121271.8","-.28","1019.79","YES","","3"
"International Seaways Inc.","INSW","20180404","3","162349.66","-.26","543.98","NO","0","4"
"Insys Therapeutics, Inc.","INSY","20180402","3","2908230.25","-.13","648.12","YES","","3"
"Intel Corporation","INTC","20180125","13","37143736",".86","202363.2","YES","","3"
"Intuit Inc.","INTU","20180222","12","1069646.75",".04","42056.98","YES","","4"
"Innoviva, Inc.","INVA","20180208","3","643202",".45","1570.54","YES","","3"
"Invitation Home Inc.","INVH","20180214","3","2126571.5",".27","7070.85","YES","3.7","2"
"InnerWorkings, Inc.","INWK","20180222","4","225481.95",".13","554.75","YES","","3"
"InterXion Holding N.V.","INXN","20180307","6","361714.94",".2","4147.67","YES","-5","3"
"Ionis Pharmaceuticals, Inc.","IONS","20180227","7","788250.63","-.06","6641.64","YES","","3"
"Lion Biotechnologies, Inc.","IOVA","20180306","6","529749.13","-.33","653.7","YES","","3"
"International Paper Company","IP","20180201","6","1897105.63","1.19","25708.9","YES","2.52","3"
"Inter Parfums, Inc.","IPAR","20180312","5","81771.05",".1","1442.4","YES","","2"
"iPass Inc.","IPAS","20180208","3","620686.63","-.05","32.3","NO","","3"
"Interpublic Group of Companies, Inc. (The)","IPG","20180209","4","3671740.75",".77","8448.36","YES","","4"
"IPG Photonics Corporation","IPGP","20180213","5","503904.69","1.74","13847.4","YES","","3"
"Inphi Corporation","IPHI","20180206","11","414993.69",".36","1643.09","YES","","5"
"Ideal Power Inc.","IPWR","20180226","6","1305782","-.17","18.68","NO","","3"
"Impax Laboratories, Inc.","IPXL","20180307","6","930620.19",".12","1415.58","YES","8.33","3"
"Quintiles Transitional Holdings Inc.","IQV","20180213","13","1125831.13","1.34","20807.12","YES","-.75","3"
"Ingersoll-Rand PLC (Ireland)","IR","20180131","8","1351823.5","1.03","22762.97","YES","","3"
"iRobot Corporation","IRBT","20180207","4","711866.38",".24","2430.42","YES","","2"
"Iridium Communications Inc","IRDM","20180222","4","543868.75",".1","1244.23","YES","","3"
"Investors Real Estate Trust","IRET","20180312","4","727031",".09","673.41","YES","","4"
"Iron Mountain Incorporated","IRM","20180222","5","1678716.38",".57","10191.66","YES","","4"
"Independence Realty Trust, Inc.","IRT","20180215","5","580061.38",".18","793.43","YES","","3"
"IRHYTHM TECH","IRTC","20180221","3","158710.8","-.35","1439.07","YES","","4"
"Ironwood Pharmaceuticals, Inc.","IRWD","20180220","5","1135057.5","-.22","2264.3","YES","","4"
"Investors Bancorp, Inc.","ISBC","20180125","4","2306502.25",".15","4396.43","YES","0","2"
"Intuitive Surgical, Inc.","ISRG","20180125","8","786767.94","2.25","46952.59","YES","","2"
"Gartner, Inc.","IT","20180201","4","374724.69","1.27","11796.42","YES","","3"
"Intra-Cellular Therapies Inc.","ITCI","20180307","4","503296.94","-.51","1029.89","YES","","3"
"Integer Holdings Corporation","ITGR","20180226","3","136716.55",".77","1537.58","YES","","2"
"Iteris, Inc.","ITI","20180208","3","226254.91","-.04","244.92","YES","0","3"
"Itron, Inc.","ITRI","20180227","4","320713.25",".94","2776.58","YES","-2.13","4"
"ITT Inc.","ITT","20180213","8","492370.44",".58","4832.08","YES","","2"
"Itau Unibanco Banco Holding SA","ITUB","20180206","3","8644037",".29","91959.33","YES","","3"
"Illinois Tool Works Inc.","ITW","20180124","9","1054562","1.62","58419.98","YES","","2"
"Invuity, Inc.","IVTY","20180213","6","138992.5","-.5","95.98","NO","","3"
"Invesco PLC","IVZ","20180125","7","2232322.25",".7","15411.97","YES","0","3"
"Jack In The Box Inc.","JACK","20180228","6","780025.19","1.25","2733.15","YES","-.79","4"
"Jagged Peak Energy Inc.","JAG","20180322","8","943206.88",".1","3136.47","YES","20","3"
"Jazz Pharmaceuticals PLC","JAZZ","20180227","10","421981.16","2.98","9004.04","YES","","4"
"J.B. Hunt Transport Services, Inc.","JBHT","20180118","8","878164.31","1.03","13286.58","YES","0","3"
"Jabil Circuit, Inc.","JBL","20180321","3","2512997",".78","4847.03","YES","0","3"
"JetBlue Airways Corporation","JBLU","20180125","9","4094137.25",".34","7352.44","YES","2.94","3"
"John Bean Technologies Corporation","JBT","20180226","6","127533.85","1.07","3532.46","YES","","3"
"Jernigan Capital, Inc.","JCAP","20180307","3","184067.66",".15","264.03","NO","","4"
"Johnson Controls International PLC","JCI","20180131","6","5208899",".51","36832.31","YES","5.88","3"
"J.C. Penney Company, Inc. Holding Company","JCP","20180223","11","18399062","-.43","1261.86","YES","4.55","3"
"JD.com, Inc.","JD","20180301","5","12211660",".1","66071.93","YES","33.33","4"
"Jacobs Engineering Group Inc.","JEC","20180207","3","857711.81",".67","9828.06","YES","0","2"
"JELD-WEN Holding, Inc.","JELD","20180206","6","440009.06",".4","4826.67","YES","-2.5","2"
"Janus Capital Group, Inc","JHG","20180123","3","804664.56",".65","8124.46","YES","3.08","2"
"J.Jill, Inc.","JILL","20180329","7","399972.09",".09","373.17","YES","","3"
"Jack Henry & Associates, Inc.","JKHY","20180206","4","213155.7",".8","9529.13","YES","","2"
"Jones Lang LaSalle Incorporated","JLL","20180207","4","229598.66","4.27","6980.47","YES","4.22","2"
"Jounce Therapeutics, Inc.","JNCE","20180309","3","149735.2","-.59","527.87","YES","","2"
"Johnson & Johnson","JNJ","20180123","11","5243481.5","1.72","391587.16","YES",".58","3"
"Juniper Networks, Inc.","JNPR","20180130","13","2829773.75",".52","10831.67","YES","0","4"
"Jones Energy, Inc.","JONE","20180314","5","1067544.25","-.2","119.65","YES","-10","3"
"J P Morgan Chase & Co","JPM","20180112","8","11766279","1.69","390934.03","YES",".5","3"
"Nordstrom, Inc.","JWN","20180222","11","1737372.75",".62","8632.28","YES",".81","2"
"Kellogg Company","K","20180208","9","2790734.5",".96","22348.65","YES","","3"
"Kala Pharmaceuticals, Inc.","KALA","20180206","3","457225.59","-.37","382.53","NO","","4"
"Kaiser Aluminum Corporation","KALU","20180220","5","99681.15","1.13","1900.18","YES","-4.42","3"
"KAR Auction Services, Inc","KAR","20180220","6","602010",".52","7205.57","YES","","2"
"KB Home","KBH","20180322","8","2394579.5",".77","3198.77","YES","3.45","1"
"KBR, Inc.","KBR","20180223","4","1409502.25",".3","2884.25","YES","","3"
"Kadmon Holdings, Inc.","KDMN","20180328","3","540917.88","-.34","332.66","NO","-35.29","3"
"Kemet Corporation","KEM","20180201","3","1256658.25",".34","972.59","YES","","3"
"Keryx Biopharmaceuticals, Inc.","KERX","20180307","4","1364949.63","-.18","557.97","YES","-11.11","4"
"Kirby Corporation","KEX","20180131","4","407234.59",".52","4465.34","YES","1.89","4"
"KeyCorp","KEY","20180118","13","6967818.5",".36","23035.07","YES","2.78","2"
"Keysight Technologies Inc.","KEYS","20180215","5","641016.38",".65","8394.07","YES","6.25","2"
"The KEYW Holding Corporation","KEYW","20180314","4","591572.94","-.03","317.19","YES","","4"
"Kforce, Inc.","KFRC","20180206","5","95942.75",".43","705.35","YES","","3"
"Korn/Ferry International","KFY","20180305","4","359596.19",".64","2382.59","YES","","3"
"Kinross Gold Corporation","KGC","20180214","5","7713292",".04","5411.98","YES","0","3"
"The Kraft Heinz Company","KHC","20180221","7","3069479.5",".95","94248.5","YES","","3"
"Kimco Realty Corporation","KIM","20180215","11","3470496.75",".38","7133.94","YES","0","4"
"KKR & Co. L.P.","KKR","20180208","5","2534088.5",".52","11022.36","YES","0","3"
"KLA-Tencor Corporation","KLAC","20180125","5","1213397.88","1.72","16813.2","YES","","2"
"KLX Inc.","KLXI","20180306","4","559055.25",".77","3561.31","YES","","3"
"Kimberly-Clark Corporation","KMB","20180123","5","1842635.25","1.55","39741.5","YES","1.29","2"
"Kinder Morgan, Inc.","KMI","20180117","8","11850153",".18","43592.84","YES","0","3"
"Kennametal Inc.","KMT","20180207","6","712657.69",".52","4208.01","YES","-7.69","2"
"CarMax Inc","KMX","20180405","10","2668055",".82","13080.74","YES","1.1","3"
"Knowles Corporation","KN","20180205","4","626328.75",".34","1446.7","YES","0","3"
"Kinsale Capital Group, Inc.","KNSL","20180307","3","57135.35",".39","924.27","NO","-7.69","2"
"Swift Transportation Company","KNX","20180130","7","1289385.38",".38","8006.98","YES","0","3"
"Coca-Cola Company (The)","KO","20180216","9","8664127",".38","196629.78","YES","5.26","3"
"Koppers Holdings Inc.","KOP","20180222","3","109741",".48","1012.36","YES","6.25","1"
"Michael Kors Holdings Limited","KORS","20180206","11","1445316.25","1.27","9920.85","YES","0","2"
"Karyopharm Therapeutics Inc.","KPTI","20180315","6","185015.3","-.58","508.61","YES","","3"
"Kroger Company (The)","KR","20180301","11","8564630",".4","24801.53","YES","0","3"
"Kilroy Realty Corporation","KRC","20180131","8","414739.34",".86","7039.23","YES","-4.65","3"
"Kite Realty Group Trust","KRG","20180201","7","620008.19",".5","1496.33","YES","0","4"
"Kornit Digital Ltd.","KRNT","20180213","3","299391.94",".06","529.64","YES","","3"
"KapStone Paper and Packaging Corporation","KS","20180214","4","667888.38",".38","2518.94","YES","","3"
"Kohl's Corporation","KSS","20180222","9","4141574.5",".72","10730.48","YES","4.79","3"
"Kansas City Southern","KSU","20180119","7","1158497.88","1.36","11431.15","YES","0","3"
"Kratos Defense & Security Solutions, Inc.","KTOS","20180226","5","1447280",".07","1170.37","YES","","3"
"K2M Group Holdings, Inc.","KTWO","20180305","5","345217.06","-.18","877.41","YES","0","4"
"Kura Oncology, Inc.","KURA","20180313","4","179598","-.36","484.97","YES","-13.89","4"
"Quaker Chemical Corporation","KWR","20180227","3","67777.15","1.26","2068.53","YES","","3"
"Lithia Motors, Inc.","LAD","20180221","6","223933.09","2.1","3106.77","YES","-.48","1"
"Ladder Capital Corp","LADR","20180222","4","669118.75",".41","1505.05","YES","0","2"
"Laureate Education Inc.","LAUR","20180327","5","600769",".37","2935.37","YES","","4"
"L Brands, Inc.","LB","20180228","15","4733534.5",".3","14020.1","YES","0","3"
"LendingClub Corporation","LC","20180213","7","7063593.5",".02","1771.49","YES","","5"
"Lannett Co Inc","LCI","20180207","4","565324.75",".87","933.08","YES","","3"
"Leidos Holdings, Inc.","LDOS","20180222","5","714278.75",".83","10140.5","YES","3.61","3"
"Lear Corporation","LEA","20180126","8","427870.25","4.25","12778.49","YES","","2"
"Lincoln Electric Holdings, Inc.","LECO","20180213","8","376448.94",".97","6435.54","YES","","3"
"Leggett & Platt, Incorporated","LEG","20180205","4","693232",".61","6432.67","YES","","2"
"Lennar Corporation","LEN","20180409","8","3514462.5","1.5","16294.11","YES","-7.41","3"
"Littelfuse, Inc.","LFUS","20180131","4","96108.35","1.67","4689.31","YES","","4"
"Lions Gate Entertainment Corporation","LGF.A","20180208","8","432247.91",".2","7055.87","YES","","3"
"LGI Homes, Inc.","LGIH","20180306","4","311703.09","1.3","1643.39","YES","2.31","1"
"Laboratory Corporation of America Holdings","LH","20180215","12","491274.66","2.37","17472.95","YES","0","3"
"LHC Group","LHCG","20180314","6","304397.84",".62","1155.96","YES","","4"
"LaSalle Hotel Properties","LHO","20180220","11","982293.31",".53","3242.96","YES","","3"
"aTyr Pharma, Inc.","LIFE","20180315","3","32838.8","-.43","116.06","YES","","2"
"Lennox International, Inc.","LII","20180206","17","226422.05","1.67","8800.95","YES","-1.8","3"
"Lumentum Holdings Inc.","LITE","20180206","7","1512446.88","1.14","3298.4","YES","","3"
"La Jolla Pharmaceutical Company","LJPC","20180222","5","597472","-1.25","674.54","YES","3.2","3"
"Lakeland Financial Corporation","LKFN","20180124","3","100733.2",".61","1286.96","YES","","2"
"LKQ Corporation","LKQ","20180222","9","1214917",".42","13434.14","YES","-2.38","2"
"LSC Communications","LKSD","20180222","3","266302.44",".66","501.42","YES","1.52","4"
"Lumber Liquidators Holdings, Inc","LL","20180220","8","595778.06",".09","867.94","YES","-55.56","2"
"Lilis Energy Inc.","LLEX","20180302","4","164028.55","-.08","268.1","YES","25","3"
"L-3 Communications Holdings, Inc.","LLL","20180125","8","492103","2.31","16367.62","YES","-2.6","3"
"Limelight Networks, Inc.","LLNW","20180207","3","693305.63",".01","466.02","YES","","3"
"Eli Lilly and Company","LLY","20180131","8","2535938.5","1.08","95773.24","YES","0","3"
"Legg Mason, Inc.","LM","20180124","5","767359.69",".84","4021.37","YES","0","1"
"LeMaitre Vascular, Inc.","LMAT","20180220","3","109070.7",".19","628.81","YES","","3"
"Limbach Holdings, Inc.","LMB","20180416","3","21257.35",".39","97.96","NO","","5"
"Lockheed Martin Corporation","LMT","20180129","9","918902.13","4.06","96414.31","YES","","3"
"Lincoln National Corporation","LNC","20180131","6","1154408.38","1.93","18462.6","YES","0","2"
"Landec Corporation","LNDC","20180403","3","70282.1",".01","352.44","YES","0","4"
"Cheniere Energy, Inc.","LNG","20180227","5","2083186.25",".33","13007.41","YES","78.79","3"
"Lindsay Corporation","LNN","20180329","5","113309.45",".36","1017.96","YES","0","3"
"El Pollo Loco Holdings, Inc.","LOCO","20180308","5","334542.5",".1","398.13","YES","","3"
"LogMein, Inc.","LOGM","20180227","5","513125.25","1.16","6369.2","YES","-2.17","4"
"Lonestar Resources US Inc.","LONE","20180322","3","163705.2","-.06","108.46","YES","-33.33","3"
"Grand Canyon Education, Inc.","LOPE","20180215","3","165704.7","1.1","4459.85","YES","","3"
"Lowe's Companies, Inc.","LOW","20180307","14","4283808.5","1.02","83689.7","YES","4.6","3"
"Loxo Oncology, Inc.","LOXO","20180306","4","334043.66","-1.27","2694.12","YES","","3"
"Dorian LPG Ltd.","LPG","20180129","3","240630.5","-.19","428.79","YES","","3"
"Laredo Petroleum, Inc.","LPI","20180221","10","2023956.63",".18","2684.61","YES","0","3"
"LPL Financial Holdings Inc.","LPLA","20180201","5","565854.88",".37","5518.73","YES","2.7","1"
"LifePoint Health, Inc.","LPNT","20180216","11","493828.5",".81","1955.03","YES","","5"
"LivePerson, Inc.","LPSN","20180214","4","322154.81",".01","747.04","YES","","3"
"Liberty Property Trust","LPT","20180206","7","625083.06",".65","6002.86","YES","","4"
"Louisiana-Pacific Corporation","LPX","20180214","3","1476669.25",".58","4099.93","YES","6.9","2"
"La Quinta Holdings Inc.","LQ","20180227","6","855379.19","-.01","2169.38","YES","","3"
"Lam Research Corporation","LRCX","20180124","8","2197030.25","3.67","30528.44","YES","","2"
"Lattice Semiconductor Corporation","LSCC","20180221","3","673604.69",".03","763.64","YES","","3"
"Life Storage, Inc.","LSI","20180221","8","336897.81","1.31","3905.38","YES","-1.53","3"
"Landstar System, Inc.","LSTR","20180131","9","206920.66","1.01","4551.21","YES",".99","2"
"LTC Properties, Inc.","LTC","20180228","5","249395.8",".75","1598.27","YES","-1.33","3"
"LATAM Airlines Group S.A.","LTM","20180321","3","414421.66",".22","9769.22","YES","","2"
"LegacyTexas Financial Group, Inc.","LTXB","20180123","4","212419.59",".62","2168.05","YES","","1"
"lululemon athletica inc.","LULU","20180404","16","1385839.75",".52","10673.28","YES","0","3"
"Southwest Airlines Company","LUV","20180125","8","3828774.75",".76","38783.84","YES","0","3"
"Las Vegas Sands Corp.","LVS","20180124","6","2531877.5",".77","56139.89","YES","2.6","3"
"Lamb Weston Holdings Inc.","LW","20180405","4","1132867.75",".53","8521.93","YES","0","3"
"Luxoft Holding, Inc.","LXFT","20180213","4","188264.09",".84","1925.78","YES","6.35","1"
"Lexington Realty Trust","LXP","20180307","7","972613.38",".25","2218.74","YES","","3"
"Lexicon Pharmaceuticals, Inc.","LXRX","20180302","4","483831.56","-.43","1081.22","YES","","3"
"LyondellBasell Industries NV","LYB","20180202","8","1378588.88","2.49","46420.05","YES","1.2","2"
"Live Nation Entertainment, Inc.","LYV","20180222","9","1053913.25","-.48","9188.12","YES","","4"
"La-Z-Boy Incorporated","LZB","20180220","3","270571.84",".46","1518.91","YES","","3"
"Macy's Inc","M","20180220","8","11945385",".15","8189.78","YES","1.13","2"
"Mastercard Incorporated","MA","20180201","16","2429025.5","1.12","171852.61","YES","","3"
"Mid-America Apartment Communities, Inc.","MAA","20180131","7","592731.56","1.48","10376.42","YES","0","3"
"Macerich Company (The)","MAC","20180205","9","1396375.63","1.14","8864.48","YES","-.88","4"
"Merrimack Pharmaceuticals, Inc.","MACK","20180307","3","159057.09","-.28","143.26","YES","","3"
"Main Street Capital Corporation","MAIN","20180222","3","280588.06",".58","2253.04","YES","","3"
"ManpowerGroup","MAN","20180202","6","267054.34","2.05","8598.4","YES","","2"
"Manhattan Associates, Inc.","MANH","20180206","4","493707.31",".45","3614.85","YES","","3"
"ManTech International Corporation","MANT","20180228","4","122346.6",".39","2023.74","YES","","2"
"Marriott International","MAR","20180221","9","2189960.75","1","50961.13","YES","2","3"
"Masco Corporation","MAS","20180208","10","2251404.5",".43","14394.49","YES","","2"
"Masimo Corporation","MASI","20180213","5","347716.56",".61","4426.65","YES","","3"
"Mattel, Inc.","MAT","20180124","5","4639494.5",".21","5255.62","YES","23.81","5"
"Matson, Inc.","MATX","20180220","4","197854.2",".28","1345.6","YES","","2"
"MINDBODY, Inc.","MB","20180214","9","404983.56",".01","1545.77","YES","","3"
"MB Financial Inc.","MBFI","20180125","7","344833.59",".63","3939.66","YES","-1.59","3"
"Malibu Boats, Inc.","MBUU","20180207","5","176390.09",".48","606.33","YES","0","2"
"Mercantile Bank Corporation","MBWM","20180116","3","35421.8",".5","617.63","YES","","2"
"Medley Capital Corporation","MCC","20180206","3","415599.25",".16","287.08","YES","12.5","4"
"McDonald's Corporation","MCD","20180130","14","2607822.25","1.59","138367.58","YES","0","2"
"Contango Oil & Gas Company","MCF","20180321","3","676066","-.17","142.35","YES","","3"
"MCBC Holdings, Inc.","MCFT","20180208","6","177679.95",".33","407.93","YES","","4"
"Microchip Technology Incorporated","MCHP","20180206","10","1422681.75","1.35","21856.08","YES","","3"
"McKesson Corporation","MCK","20180201","8","1301897.25","2.89","34658.97","YES","","2"
"Moody's Corporation","MCO","20180216","6","639993.63","1.39","30050.48","YES","-.72","2"
"Seres Therapeutics, Inc.","MCRB","20180315","4","160881.34","-.73","426.38","YES","","4"
"Milacron Holdings Corp.","MCRN","20180222","5","423084.94",".4","1319.6","YES","-2.5","3"
"Mednax, Inc","MD","20180206","7","845476.88",".84","5077.97","YES","","3"
"M.D.C. Holdings, Inc.","MDC","20180201","6","444609.34",".66","1914.1","YES","3.03","3"
"The Medicines Company","MDCO","20180227","3","916317.63","-1.48","2005.4","YES","","2"
"Mondelez International, Inc.","MDLZ","20180206","8","7743277",".56","63466.66","YES","","3"
"McDermott International, Inc.","MDR","20180220","3","7891461","-.01","2212.57","YES","","3"
"Allscripts Healthcare Solutions, Inc.","MDRX","20180215","14","2100913.5",".18","2896.32","YES","","4"
"Medidata Solutions, Inc.","MDSO","20180208","9","363110.16",".31","3911.04","YES","","3"
"Medtronic PLC","MDT","20180220","13","4319287",".98","115656.41","YES","0","3"
"MediWound Ltd.","MDWD","20180220","4","40136.75","-.16","124.42","YES","","3"
"Medpace Holdings, Inc.","MEDP","20180226","6","218238.25",".38","1394.26","NO","0","1"
"Methode Electronics, Inc.","MEI","20180301","3","211384.41",".64","1599.95","YES","","3"
"MEI Pharma, Inc.","MEIP","20180214","3","129421","-.26","87.2","YES","","4"
"MercadoLibre, Inc.","MELI","20180222","5","497047.59",".58","15122.45","YES","","3"
"MetLife, Inc.","MET","20180131","6","4509375","1.09","56119.11","YES","0","3"
"Manulife Financial Corp","MFC","20180207","4","1735580",".46","43158.61","YES","-4.35","2"
"Magna International, Inc.","MGA","20180223","7","842152.5","1.59","21521.69","YES","3.77","3"
"Signal Genetics, Inc.","MGEN","20180323","3","313257.75","-.29","198.77","NO","3.45","2"
"Moneygram International, Inc.","MGI","20180321","4","2088740.75",".25","686.02","YES","","3"
"Magellan Health, Inc.","MGLN","20180223","3","110653.65","2.3","2362.13","YES","","1"
"MGM Resorts International","MGM","20180215","6","5595988",".07","19831.81","YES","28.57","3"
"MacroGenics, Inc.","MGNX","20180227","7","148554.7","2.58","755.98","YES","","3"
"MGP Ingredients, Inc.","MGPI","20180314","3","143590.25",".49","1261.23","YES","","3"
"Mohawk Industries, Inc.","MHK","20180208","9","462219.66","3.33","20368.88","YES","","3"
"The Middleby Corporation","MIDD","20180227","5","362798.31","1.49","7589.07","YES","","3"
"The Michaels Companies, Inc.","MIK","20180306","8","1596938.75",".44","4536.66","YES","1.69","3"
"Mimecast Limited","MIME","20180208","6","267443.56",".02","1850.83","YES","","3"
"Mobile Mini, Inc.","MINI","20180201","4","134681.25",".36","1664.48","YES","","3"
"Mitek Systems, Inc.","MITK","20180201","3","257354.34",".02","326.89","YES","","4"
"MiX Telematics Limited","MIXT","20180201","3","46549.2",".11","282.15","NO","","3"
"McCormick & Company, Incorporated","MKC","20180124","4","650893.19","1.52","13232.01","YES","","3"
"MKS Instruments, Inc.","MKSI","20180201","6","392693.69","1.64","5223.18","YES","","3"
"Martin Marietta Materials, Inc.","MLM","20180213","5","575774.19","1.57","14505.57","YES","","5"
"Mellanox Technologies, Ltd.","MLNX","20180118","5","329274.69",".68","3376.59","YES","","1"
"Marsh & McLennan Companies, Inc.","MMC","20180201","9","1871914.75",".95","41716.58","YES","","2"
"Martin Midstream Partners L.P.","MMLP","20180221","5","200477.84",".36","609.38","YES","","3"
"3M Company","MMM","20180125","6","1697914.25","2.02","145608.28","YES",".5","2"
"Magellan Midstream Partners L.P.","MMP","20180201","8","809886.25","1.11","17015.23","YES","5.41","3"
"Maximus, Inc.","MMS","20180208","6","311164.5",".77","4682.7","YES","","4"
"Merit Medical Systems, Inc.","MMSI","20180220","6","247556.91",".31","2274.01","YES","","2"
"Mallinckrodt PLC","MNK","","10","2620872","1.72","2232.62","YES","1.74","3"
"Monmouth Real Estate Investment Corporation","MNR","20180207","3","284755.16",".21","1305.5","YES","","3"
"Monro Muffler Brake, Inc.","MNRO","20180125","4","268352.75",".48","1967.96","YES","","3"
"Monster Beverage Corporation","MNST","20180307","8","1751689.75",".37","35963.92","YES","0","3"
"Altria Group","MO","20180207","6","6241042.5",".81","132829.11","YES","","3"
"MobileIron, Inc.","MOBL","20180206","4","385693.81","-.03","403.44","YES","","3"
"Model N, Inc.","MODN","20180206","4","136705.09","-.06","468.64","YES","","3"
"Molina Healthcare Inc","MOH","20180221","9","1098576.25",".24","4899.81","YES","-220.83","1"
"Monsanto Company","MON","20180404","4","2971147",".38","52770.7","YES","-.59","3"
"Mosaic Company (The)","MOS","20180206","6","4359684",".26","9555.55","YES","15.38","3"
"Motorcar Parts of America, Inc.","MPAA","20180208","3","146950.3",".55","536.82","YES","","5"
"Marathon Petroleum Corporation","MPC","20180201","8","3397562","1.03","34882.38","YES","-8.65","3"
"MPLX LP","MPLX","20180201","6","1910947.75",".34","16108.16","YES","-8.82","4"
"Medical Properties Trust, Inc.","MPW","20180208","10","2167368.5",".35","4646.63","YES","8.57","3"
"Monolithic Power Systems, Inc.","MPWR","20180208","6","222848.95",".81","5102.02","YES","","3"
"MRC Global Inc.","MRC","20180215","9","472336.69",".03","1794.26","YES","66.67","5"
"Monroe Capital Corporation","MRCC","20180306","4","107423.75",".34","287.41","YES","","4"
"Mercury Systems Inc","MRCY","20180122","5","239859.09",".3","2482.48","YES","","1"
"Merck & Company, Inc.","MRK","20180202","9","9273323",".94","159815.47","YES","","3"
"Marathon Oil Corporation","MRO","20180214","9","10060877",".02","15990.68","YES","-200","2"
"MedEquities Realty Trust Inc.","MRT","20180226","5","298079.5",".31","344.24","NO","0","3"
"Mirati Therapeutics, Inc.","MRTX","20180308","6","391476.69","-.62","668.1","YES","27.42","3"
"Marvell Technology Group Ltd.","MRVL","20180301","12","5591744",".32","11710.21","YES","0","2"
"Morgan Stanley","MS","20180118","5","6637949",".77","99651.39","YES","0","2"
"MSA Safety Incorporporated","MSA","20180222","3","149086.59",".96","3044.46","YES","","3"
"Microsemi Corporation","MSCC","20180125","7","748847","1.01","6830.39","YES","","3"
"MSCI Inc","MSCI","20180201","5","384899.44",".99","12239.48","YES","5.05","2"
"Microsoft Corporation","MSFT","20180131","14","19067998",".86","691227.25","YES","5.81","2"
"The Madison Square Garden Company","MSG","20180202","3","107931.2","1.93","5017.83","YES","","3"
"MSG Networks Inc.","MSGN","20180201","4","510968.84",".53","1625.05","YES","","3"
"Motorola Solutions, Inc.","MSI","20180201","6","867645.38","2.03","15644.34","YES","","3"
"MSC Industrial Direct Company, Inc.","MSM","20180405","7","583101.88","1.06","5343.05","YES","4","1"
"M&T Bank Corporation","MTB","20180118","9","477153.91","2.4","26869.94","YES","1.67","3"
"Match Group, Inc.","MTCH","20180130","7","1115468.75",".31","8915.52","YES","","3"
"Mettler-Toledo International, Inc.","MTD","20180208","7","160868.95","5.93","16641.7","YES","","3"
"Matador Resources Company","MTDR","20180228","10","1032426.19",".2","3551.64","YES","-5","3"
"MGIC Investment Corporation","MTG","20180118","4","2391470.5",".27","5602.97","YES","0","1"
"Meritage Corporation","MTH","20180207","11","432270.56","1.25","2133.25","YES","-1.6","3"
"Vail Resorts, Inc.","MTN","20180309","5","605263.63","-1.83","8982.88","YES","-1.78","3"
"Meritor, Inc.","MTOR","20180131","4","903182.13",".47","2186.77","YES","","3"
"Materion Corporation","MTRN","20180216","3","140756.75",".38","1056.27","YES","","5"
"MTS Systems Corporation","MTSC","20180409","3","70889.25",".4","968.88","YES","","3"
"MACOM Technology Solutions Holdings, Inc.","MTSI","20180206","7","659883.56",".13","2345.64","YES","","5"
"Manitowoc Company, Inc. (The)","MTW","20180207","8","403200.25","-.06","1384.84","YES","250","3"
"MasTec, Inc.","MTZ","20180222","7","816463.88",".37","4344.95","YES","","3"
"Micron Technology, Inc.","MU","20180322","8","40891784","2.19","49501.84","YES","0","1"
"Mulesoft Inc.","MULE","20180125","6","1165945.38","-.12","3171.05","YES","","3"
"Murphy Oil Corporation","MUR","20180131","6","1888804.38","-.01","5972.75","YES","800","3"
"Murphy USA Inc.","MUSA","20180131","5","237399.75","1.13","2995.59","YES","15.04","3"
"MUELLER WATER PRODUCTS","MWA","20180201","7","781298.19",".06","2007.12","YES","-16.67","3"
"Maxim Integrated Products, Inc.","MXIM","20180125","11","1589189.75",".64","15495.86","YES","","4"
"MaxLinear, Inc","MXL","20180214","4","401735.59",".38","1793.14","YES","-3.85","3"
"Maxwell Technologies, Inc.","MXWL","20180227","3","216423.75","-.11","224.31","YES","","3"
"Myriad Genetics, Inc.","MYGN","20180206","10","546969.25",".24","2496.14","YES","12.5","3"
"Mylan N.V.","MYL","20180307","7","5308225.5","1.4","25158.85","YES","1.43","4"
"MyoKardia, Inc.","MYOK","20180312","4","424979.41","-.4","1890.7","YES","","3"
