"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"ISCA","International S...","1,774","bmo","0.75","--","NA","--",""
"ISRG","Intuitive Surgi...","46,953","amc","2.25","--","NA","--",""
"ISTR","Investar Holdin...","215","--","0.32","--","NA","--",""
"IVZ","Invesco Plc","15,412","--","0.70","--","NA","--",""
"KLAC","Kla-tencor Corp...","16,813","amc","1.72","--","NA","--",""
"LBAI","Lakeland Bancor...","964","--","0.29","--","NA","--",""
"LRN","K12 Inc","682","amc","0.23","--","NA","--",""
"LUV","Southwest Airli...","38,784","bmo","0.76","--","NA","--",""
"LYTS","Lsi Industries...","180","--","0.07","--","NA","--",""
"MATW","Matthews Intern...","1,662","amc","0.58","--","NA","--",""
"MKC","Mccormick & Com...","13,232","bmo","1.52","--","NA","--",""
"MNRO","Monro Muffler B...","1,968","bmo","0.48","--","NA","--",""
"MRLN","Marlin Business...","295","--","0.31","--","NA","--",""
"MRTN","Marten Transpor...","1,202","amc","0.15","--","NA","--",""
"MSBI","Midland States...","654","amc","0.59","--","NA","--",""
"MSCC","Microsemi Corpo...","6,830","amc","1.01","--","NA","--",""
"MULE","Mulesoft Inc.","3,171","--","-0.12","--","NA","--",""
"MXIM","Maxim Integrate...","15,496","amc","0.64","--","NA","--",""
"NBHC","National Bank H...","902","amc","0.33","--","NA","--",""
"NOC","Northrop Grumma...","54,861","bmo","2.75","--","NA","--",""
"NTR","Potash Corporat...","17,956","--","0.42","--","NA","--",""
"NURO","Neurometrix, In...","4","--","-1.40","--","NA","--",""
"OCFC","Oceanfirst Fina...","915","amc","0.45","--","NA","--",""
"ORI","Old Republic In...","5,221","--","0.38","--","NA","--",""
"ORRF","Orrstown Financ...","207","--","0.08","--","NA","--",""
"OSIS","Osi Systems, In...","1,284","--","0.89","--","NA","--",""
"PKI","Perkinelmer, In...","8,696","amc","0.94","--","NA","--",""
"PX","Praxair, Inc.","46,997","bmo","1.48","--","NA","--",""
"PYPL","Paypal Holdings...","96,802","--","0.52","--","NA","--",""
"RCI","Rogers Communic...","25,761","bmo","0.68","--","NA","--",""
"RCL","Royal Caribbean...","27,303","--","1.20","--","NA","--",""
"RVSB","Riverview Banco...","201","--","0.14","--","NA","--",""
"SAFE","Safety, Income...","326","--","0.16","--","NA","--",""
"SBBX","Sussex Bancorp","215","--","0.31","--","NA","--",""
"SBCF","Seacoast Bankin...","1,167","amc","0.36","--","NA","--",""
"SMCI","Super Micro Com...","1,047","--","0.43","--","NA","--",""
"STBA","S&t Bancorp, In...","1,464","bmo","0.63","--","NA","--",""
"STBZ","State Bank Fina...","1,223","bmo","0.38","--","NA","--",""
"STM","Stmicroelectron...","22,074","bmo","0.35","--","NA","--",""
"SYBT","Stock Yards Ban...","874","--","0.50","--","NA","--",""
"SYNA","Synaptics Incor...","1,693","--","1.09","--","NA","--",""
"TAL","Tal Education G...","15,194","bmo","0.08","--","NA","--",""
"TBBK","The Bancorp, In...","607","amc","0.11","--","NA","--",""
"TBNK","Territorial Ban...","314","--","0.45","--","NA","--",""
"TOWN","Towne Bank","2,033","--","0.36","--","NA","--",""
"UFI","Unifi, Inc.","664","bmo","0.39","--","NA","--",""
"UIS","Unisys Corporat...","449","--","0.18","--","NA","--",""
"VLY","Valley National...","3,223","bmo","0.17","--","NA","--",""
"WRLD","World Acceptanc...","744","--","0.95","--","NA","--",""
"WSFS","Wsfs Financial...","1,585","--","0.66","--","NA","--",""﻿"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"APD","Air Products An...","37,232","bmo","1.66","--","0.60%","--",""
"NEE","Nextera Energy,...","70,710","bmo","1.31","--","-0.77%","--",""
"CIVB","Civista Bancsha...","227","--","0.27","--","-11.11%","--",""
"ABBV","Abbvie Inc.","160,186","bmo","1.43","--","NA","--",""
"ABCB","Ameris Bancorp","1,988","bmo","0.63","--","NA","--",""
"ATLKY","Atlas Copco Ab","39,535","--","0.45","--","NA","--",""
"BAYK","Bay Banks Of Vi...","139","--","0.09","--","NA","--",""
"BDGE","Bridge Bancorp,...","733","--","0.50","--","NA","--",""
"BSMX","Grupo Financier...","5,109","--","0.20","--","NA","--",""
"CCNE","Cnb Financial C...","427","--","0.30","--","NA","--",""
"CFFN","Capitol Federal...","1,899","--","0.16","--","NA","--",""
"CL","Colgate-palmoli...","65,524","bmo","0.75","--","NA","--",""
