"Hilltop Holdings Inc.","HTH","20180125","3","426166.94",".42","2534.9","YES","-2.38","2","HTH","Hilltop Holding...","2,535","amc","0.42","--","-2.38%","--","",
"Hexcel Corporation","HXL","20180124","5","464408.66",".7","5802.69","YES","","4","HXL","Hexcel Corporat...","5,803","amc","0.70","--","NA","--","",
"IBERIABANK Corporation","IBKC","20180125","6","465018.56","1.26","4441.58","YES","-.79","2","IBKC","Iberiabank Corp...","4,442","amc","1.26","--","-0.79%","--","",
"IDEX Corporation","IEX","20180129","7","220782.09","1.07","10452.56","YES","","4","IEX","Idex Corporatio...","10,453","--","1.07","--","NA","--","",
"Intel Corporation","INTC","20180125","13","37143736",".86","202363.2","YES","","3","INTC","Intel Corporati...","202,363","amc","0.86","--","NA","--","",
"Illinois Tool Works Inc.","ITW","20180124","9","1054562","1.62","58419.98","YES","","2","ITW","Illinois Tool W...","58,420","bmo","1.62","--","NA","--","",
"Invesco PLC","IVZ","20180125","7","2232322.25",".7","15411.97","YES","0","3","IVZ","Invesco Plc","15,412","--","0.70","--","NA","--","",
"JetBlue Airways Corporation","JBLU","20180125","9","4094137.25",".34","7352.44","YES","2.94","3","JBLU","Jetblue Airways...","7,352","bmo","0.34","--","2.94%","--","",
"Johnson & Johnson","JNJ","20180123","11","5243481.5","1.72","391587.16","YES",".58","3","JNJ","Johnson & Johns...","391,587","bmo","1.72","--","0.58%","--","",
"KLA-Tencor Corporation","KLAC","20180125","5","1213397.88","1.72","16813.2","YES","","2","KLAC","Kla-tencor Corp...","16,813","amc","1.72","--","NA","--","",
"Kimberly-Clark Corporation","KMB","20180123","5","1842635.25","1.55","39741.5","YES","1.29","2","KMB","Kimberly-clark...","39,742","bmo","1.55","--","1.29%","--","",
"Lear Corporation","LEA","20180126","8","427870.25","4.25","12778.49","YES","","2","LEA","Lear Corporatio...","12,778","bmo","4.25","--","NA","--","",
"Lakeland Financial Corporation","LKFN","20180124","3","100733.2",".61","1286.96","YES","","2","LKFN","Lakeland Financ...","1,287","--","0.61","--","NA","--","",
"Lockheed Martin Corporation","LMT","20180129","9","918902.13","4.06","96414.31","YES","","3","LMT","Lockheed Martin...","96,414","bmo","4.06","--","NA","--","",
"Dorian LPG Ltd.","LPG","20180129","3","240630.5","-.19","428.79","YES","","3","LPG","Dorian Lpg Ltd....","429","--","-0.19","--","NA","--","",
"Lam Research Corporation","LRCX","20180124","8","2197030.25","3.67","30528.44","YES","","2","LRCX","Lam Research Co...","30,528","amc","3.67","--","NA","--","",
"Southwest Airlines Company","LUV","20180125","8","3828774.75",".76","38783.84","YES","0","3","LUV","Southwest Airli...","38,784","bmo","0.76","--","NA","--","",
"Las Vegas Sands Corp.","LVS","20180124","6","2531877.5",".77","56139.89","YES","2.6","3","LVS","Las Vegas Sands...","56,140","--","0.77","--","2.60%","--","",
"MB Financial Inc.","MBFI","20180125","7","344833.59",".63","3939.66","YES","-1.59","3","MBFI","Mb Financial In...","3,940","--","0.63","--","-1.59%","--","",
"3M Company","MMM","20180125","6","1697914.25","2.02","145608.28","YES",".5","2","MMM","3m Company","145,608","bmo","2.02","--","0.50%","--","",
"Mercury Systems Inc","MRCY","20180122","5","239859.09",".3","2482.48","YES","","1","MRCY","Mercury Systems...","2,483","--","0.30","--","NA","--","",
"Microsemi Corporation","MSCC","20180125","7","748847","1.01","6830.39","YES","","3","MSCC","Microsemi Corpo...","6,830","amc","1.01","--","NA","--","",
"Mulesoft Inc.","MULE","20180125","6","1165945.38","-.12","3171.05","YES","","3","MULE","Mulesoft Inc.","3,171","--","-0.12","--","NA","--","",
"Navient Corporation","NAVI","20180123","4","3004587.5",".42","3650.61","YES","2.38","2","NAVI","Navient Corpora...","3,651","amc","0.42","--","2.38%","--","",
"Northrop Grumman Corporation","NOC","20180125","9","594794.94","2.75","54860.68","YES","","2","NOC","Northrop Grumma...","54,861","bmo","2.75","--","NA","--","",
"Norfolk Souther Corporation","NSC","20180124","9","1156570.38","1.56","44164.23","YES","-.64","3","NSC","Norfolk Souther...","44,164","bmo","1.56","--","-0.64%","--","",
"Northern Trust Corporation","NTRS","20180124","8","820489.63","1.3","24393.18","YES","0","1","NTRS","Northern Trust...","24,393","bmo","1.30","--","NA","--","",
"Novartis AG","NVS","20180124","3","851980.88","1.16","204978.81","YES","","3","NVS","Novartis Ag","204,979","bmo","1.16","--","NA","--","",
"OceanFirst Financial Corp.","OCFC","20180125","3","158915.95",".45","915.23","YES","","3","OCFC","Oceanfirst Fina...","915","amc","0.45","--","NA","--","",
"Old National Bancorp","ONB","20180123","3","611312.63",".25","2493.62","YES","","2","ONB","Old National Ba...","2,494","bmo","0.25","--","NA","--","",
"Oshkosh Corporation","OSK","20180125","8","453134.44",".53","6887.05","YES","-16.98","2","OSK","Oshkosh Corpora...","6,887","bmo","0.53","--","-16.98%","--","",
"Potlatch Corporation","PCH","20180129","4","542720.5",".59","2093.5","YES","1.69","1","PCH","Potlatch Corpor...","2,093","amc","0.59","--","1.69%","--","",
"Peoples Bancorp Inc.","PEBO","20180123","3","31541.2",".48","629.78","YES","-4.17","2","PEBO","Peoples Bancorp...","630","bmo","0.48","--","-4.17%","--","",
"Preferred Bank","PFBC","20180123","4","74194.7",".89","836.12","YES","","2","PFBC","Preferred Bank","836","amc","0.90","--","NA","--","",
"Principal Financial Group Inc","PFG","20180129","3","886845.31","1.37","21428.51","YES","0","2","PFG","Principal Finan...","21,428","amc","1.37","--","NA","--","",
"Procter & Gamble Company (The)","PG","20180123","8","5498642.5","1.14","227336.81","YES",".88","3","PG","Procter & Gambl...","227,337","bmo","1.15","--","0.88%","--","",
"Progressive Corporation (The)","PGR","20180124","10","2377492.5",".77","32534.7","YES","0","1","PGR","Progressive Cor...","32,535","bmo","0.77","--","NA","--","",
"PolyOne Corporation","POL","20180126","8","327225.5",".39","3688.7","YES","","3","POL","Polyone Corpora...","3,689","bmo","0.39","--","NA","--","",
"Royal Caribbean Cruises Ltd.","RCL","20180125","9","1110738.38","1.2","27302.77","YES","","3","RCL","Royal Caribbean...","27,303","--","1.20","--","NA","--","",
"Radian Group Inc.","RDN","20180125","4","1267656.25",".44","4770.45","YES","-4.55","2","RDN","Radian Group In...","4,770","--","0.44","--","-4.55%","--","",
"Robert Half International Inc.","RHI","20180125","6","606219.13",".63","7064.73","YES","-46.03","1","RHI","Robert Half Int...","7,065","--","0.63","--","-46.03%","--","",
"ResMed Inc.","RMD","20180122","3","427837.5",".78","12456.33","YES","","3","RMD","Resmed Inc.","12,456","amc","0.78","--","NA","--","",
